Support_ID;Stations_ANFR_Orange;Nb_stations_orange;Exploitant_Orange;Latitude;Longitude;Hauteur_m;Nature_support;Proprietaire;Adresse;Code_postal;Code_INSEE;Departement;Technologies_systemes
584355;0012290209;1;Orange;45.7494444;5.695;25.0;Pylône autostable;TOTEM;La Rodette - rte des ecassaz;01300;01034;01;5G NR 3500 | 5G NR 700 | GSM 900 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 700 | LTE 800 | UMTS 2100 | UMTS 900
787224;0012290400;1;Orange;45.7630556;5.6797222;25.0;Château d'eau - réservoir;TDF;Melon Château d'Eau;01300;01034;01;5G NR 3500 | 5G NR 700 | GSM 900 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 700 | LTE 800 | UMTS 900
1462397;0012290337;1;Orange;45.9075;5.635;24.4;Pylône autostable;TDF;Longue Raye - VC n°5;01260;01036;01;LTE 700 | LTE 800 | UMTS 900
605228;0012290149;1;Orange;45.8819444;5.6797222;27.0;Pylône autostable;TOTEM;Hameau de Linod;01260;01036;01;5G NR 3500 | 5G NR 700 | GSM 900 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 700 | LTE 800 | UMTS 900
2955402;0012290489;1;Orange;45.83;5.4697222;42.0;Pylône autostable;HIVORY;LA COTE AUX RATS - Chemin rural dit de Merlet;01470;01037;01;LTE 700 | LTE 800 | UMTS 900
543787;0012290117;1;Orange;46.2961111;5.2477778;40.0;Pylône autostable;Sociétés d'Autoroutes;les Couhardes du Château - PS VC 16 - A 39;01370;01038;01;5G NR 2100 | GSM 900 | LTE 1800 | LTE 700 | LTE 800 | UMTS 900
2339506;0012290401;1;Orange;45.8513889;5.7497222;34.0;Pylône autostable;TDF;La conche - Chemin proche D 37;01350;01039;01;5G NR 2100 | LTE 1800 | LTE 700 | LTE 800 | UMTS 900
2172988;0012290394;1;Orange;46.3705556;5.0416667;46.5;Pylône autostable;ON TOWER FRANCE;LES FONTAINES - CHEMIN DU CURTIL;01340;01040;01;LTE 700 | LTE 800 | UMTS 900
753447;0012290136;1;Orange;45.9483333;5.3519444;24.0;Pylône tubulaire;TOTEM;Prés Maréchal - chemin de l'Albarine - terrain de sports;01500;01041;01;5G NR 3500 | 5G NR 700 | GSM 900 | LTE 1800 | LTE 2100 | LTE 700 | LTE 800 | UMTS 900
1597304;0010220116 | 0012290263;2;Orange | Orange service fixe;46.2205556;4.8502778;25.0;Pylône autostable;TOTEM;Allée de Moncepey;01290;01042;01;FH | GSM 900 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 700 | LTE 800 | UMTS 900
3293669;0010220189;1;Orange service fixe;46.2208333;4.8502778;30.7;Pylône autostable;TDF;Allée de Monspey;01290;01042;01;FH
3249223;0012290499;1;Orange;45.8433333;4.9958333;30.0;Pylône autostable;ATC FRANCE;1a Chemin de la Grande Montée;01700;01043;01;5G NR 3500 | 5G NR 700 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 800
455336;0012290245;1;Orange;45.8269444;5.0052778;32.0;Pylône autostable;ATC FRANCE;Les Marquettes - chem des marquettes;01700;01043;01;5G NR 3500 | 5G NR 700 | GSM 900 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 700 | LTE 800 | UMTS 2100 | UMTS 900
583428;0012290256;1;Orange;45.855;4.9927778;52.0;Pylône autostable;RTE;En Brochalin - En Brochalin - Pylone electrique N°7 - ligne 63 La Boisse - Cailloux/Fontaines;01700;01043;01;GSM 900 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 700 | LTE 800 | UMTS 900
753433;0012290026;1;Orange;45.83;5.2516667;18.0;Château d'eau - réservoir;Syndicat des eaux, Adduction;BOIS DES TERRES - RD 62 - Réservoir de Blyes;01150;01047;01;5G NR 3500 | 5G NR 700 | GSM 900 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 700 | LTE 800 | UMTS 900
3115022;0012290178;1;Orange;45.8430556;5.0502778;26.0;Pylône autostable;TOTEM;150 rue des près seigneurs;01120;01049;01;5G NR 3500 | 5G NR 700 | GSM 900 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 700 | LTE 800 | UMTS 900
462435;0012290246;1;Orange;45.8388889;5.0227778;23.0;Pylône autostable;EDF ou GDF;471 chem du pré mayeux;01120;01049;01;5G NR 3500 | 5G NR 700 | GSM 900 | LTE 1800 | LTE 2100 | LTE 2600 | LTE 700 | LTE 800 | UMTS 900
2355494;0010220141;1;Orange service fixe;46.2136111;5.4536111;12.0;Pylône autostable;SNCF Réseau;Daranche - La Gare;01450;01051;01;FH
